Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Oct15,338,175,51.8,62,18.3,33,9.8,15,4.4,38,11.2,15,4.4
Nov15,351,187,53.3,88,25.1,30,8.5,10,2.8,34,9.7,2,0.6
Dec15,423,272,64.3,100,23.6,6,1.4,11,2.6,34,8.0,0,0
Jan16,317,183,57.7,65,20.5,19,6.0,13,4.1,35,11.0,2,0.6
Feb16,322,193,59.9,60,18.6,16,5.0,15,4.7,31,9.6,7,2.2
Mar16,477,299,62.7,75,15.7,32,6.7,14,2.9,41,8.6,16,3.4
Apr16,432,256,59.3,87,20.1,30,6.9,19,4.4,28,6.5,12,2.8
May16,479,336,70.1,65,13.6,15,3.1,16,3.3,31,6.5,16,3.3
Jun16,368,226,61.4,53,14.4,20,5.4,9,2.4,46,12.5,14,3.8
Jul16,321,185,57.6,69,21.5,13,4.0,10,3.1,34,10.6,10,3.1
TOTALS,3828,2312,60.4,724,18.9,214,5.6,132,3.4,352,9.2,94,2.5

