Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Feb15,410,259,63.2,69,16.8,22,5.4,7,1.7,47,11.5,6,1.5
Mar15,463,233,50.3,110,23.8,30,6.5,27,5.8,63,13.6,0,0
Apr15,411,221,53.8,91,22.1,33,8.0,19,4.6,46,11.2,1,0.2
May15,454,289,63.7,76,16.7,27,5.9,18,4.0,44,9.7,0,0
Jun15,405,208,51.4,100,24.7,36,8.9,18,4.4,42,10.4,1,0.2
Jul15,317,140,44.2,87,27.4,30,9.5,15,4.7,43,13.6,2,0.6
Aug15,280,131,46.8,78,27.9,26,9.3,9,3.2,34,12.1,2,0.7
Sept15,286,142,49.7,74,25.9,21,7.3,23,8.0,22,7.7,4,1.4
Oct15,338,182,53.8,70,20.7,34,10.1,15,4.4,33,9.8,4,1.2
Nov15,351,187,53.3,89,25.4,30,8.5,10,2.8,17,4.8,18,5.1
TOTALS,3715,1992,53.6,844,22.7,289,7.8,161,4.3,391,10.5,38,1.0

